02485579-v,distribute,release,01478367-v,uncork,release
02752492-v,break,come to an end,00356457-v,dissolve;break up,come to an end
14104698-n,gingivitis,inflammation of the gums,14381098-n,ulitis,inflammation of the gums
02022224-v,catch,reach in time,02025384-v,make,reach in time
07664811-n,medallion,a circular helping of food (especially a boneless cut of meat),92326409-n,medallion,a circular helping of food (especially a boneless cut of meat)
07819069-n,barley;barleycorn,a grain of barley,12144165-n,barleycorn,a grain of barley
01623891-v,end,put an end to,00354849-v,lift;raise,put an end to
01660001-v,demolish;pulverize;pulverise,destroy completely,01568702-v,consume,destroy completely
01701863-v,coin,make up,01743426-v,vamp;vamp up,make up
91000061-n,rewatch,to watch a show or television one more time,91000041-v,rewatch,to watch a show or television one more time
01461331-s,pianissimo,(chiefly a direction or description in music) very soft,01461461-s,pianissimo assai,(chiefly a direction or description in music) very soft
01705397-s,bifoliate,having two leaves,01707783-s,two-leaved;two-leafed,having two leaves
02179281-s,bilobate;bilobated;bilobed,divided into two lobes,02488985-s,bifid,divided into two lobes
02463536-a,untraveled;untravelled,not traveled over or through,02463673-s,untraversed,not traveled over or through
00022092-v,bring to;bring back;bring round;bring around,call to mind,00932330-v,suggest;evoke;paint a picture,call to mind
00158495-v,bump up,increase or raise,00498142-v,boost;advance;supercharge,increase or raise
00172745-v,deprive;impoverish,take away,00179205-v,take off,take away,00572673-v,pull,take away
00195686-v,clear,remove,01436307-v,fetch,remove
00211822-v,dehydrate;desiccate,remove water from,00367200-v,condense,remove water from
00241017-v,reduce;scale down,make smaller,01282077-v,contract,make smaller
04771667-n,generality,the quality of being general or widespread or having general applicability,86491000-n,generalizability;generalisability,the quality of being general or widespread or having general applicability
01404426-v,smash;nail;boom;blast,hit with great force,01409889-v,kill,hit with great force
01511000-v,throw,propel through the air,01607363-v,loft,propel through the air
11943130-n,plantain-leaved pussytoes,a variety of pussytoes,11943224-n,field pussytoes,a variety of pussytoes,11943308-n,solitary pussytoes,a variety of pussytoes
11961563-n,slender knapweed,a variety of knapweed,11961647-n,Jersey knapweed,a variety of knapweed
12485408-n,Ruscaceae;family Ruscaceae,one of many subfamilies into which some classification systems subdivide the Liliaceae but not widely accepted,12485612-n,Tecophilaeacea;family Tecophilaeacea,one of many subfamilies into which some classification systems subdivide the Liliaceae but not widely accepted,12491655-n,Convallariaceae;family Convallariaceae,one of many subfamilies into which some classification systems subdivide the Liliaceae but not widely accepted
12714005-n,Protium heptaphyllum,tropical American tree,12714113-n,Protium guianense,tropical American tree
13024734-n,white slime mushroom,a type of slime mushroom,13024825-n,Fischer's slime mushroom,a type of slime mushroom
13062308-n,Tulostomatales;order Tulostomatales,an order of fungi belonging to the class Gasteromycetes,13067976-n,Secotiales;order Secotiales,an order of fungi belonging to the class Gasteromycetes
07377946-n,descent,a movement downward,07384870-n,fall,a movement downward
14744853-n,alpha iron,a magnetic allotrope of iron; stable below 906 degrees centigrade,92363685-n,ferrite;alpha-ferrite;alpha-Fe,a magnetic allotrope of iron; stable below 906 degrees centigrade
14749988-n,chrysotile,a grey or green fibrous mineral; an important source of commercial asbestos,92363714-n,white asbestos,a grey or green fibrous mineral; an important source of commercial asbestos
14801263-n,Brioschi,an antacid,14801347-n,Bromo-seltzer,an antacid,14801600-n,Maalox,an antacid,14801682-n,Mylanta,an antacid,14801927-n,Pepto-bismal,an antacid,14802015-n,Rolaids,an antacid
14803955-n,desiccant;drying agent;drier;siccative,"a substance that promotes drying (e.g., calcium oxide absorbs water and is used to remove moisture)",92427724-n,oil drying agent,"a substance that promotes drying (e.g., calcium oxide absorbs water and is used to remove moisture)"
14927246-n,polyurethane;polyurethan,any of various polymers containing the urethane radical; a wide variety of synthetic forms are made and used as adhesives or plastics or paints or rubber,92364728-n,PUR;PU,any of various polymers containing the urethane radical; a wide variety of synthetic forms are made and used as adhesives or plastics or paints or rubber
15116236-n,vitamin B6;pyridoxine;pyridoxal;pyridoxamine;adermin,a B vitamin that is essential for metabolism of amino acids and starch,92365838-n,pyridoxamine 5'-phosphate;pyridoxine 5'-phosphate,a B vitamin that is essential for metabolism of amino acids and starch
00803639-v,turn a blind eye,refuse to acknowledge,01061436-v,ignore;disregard;snub;cut,refuse to acknowledge
02228261-v,waste,dispose of,02228837-v,get rid of;remove,dispose of
01356052-n,bacteria species,a species of bacteria,01383926-n,Streptococcus anhemolyticus,a species of bacteria
01552674-n,Pyrocephalus;genus Pyrocephalus,a genus of Tyrannidae,01557813-n,Muscivora;genus Muscivora,a genus of Tyrannidae
01739210-n,Potamophis;genus Potamophis,ground snakes,01739337-n,Haldea;genus Haldea,ground snakes
01748421-n,Micrurus;genus Micrurus,coral snakes,01748704-n,Micruroides;genus Micruroides,coral snakes
01816452-n,Stictopelia;genus Stictopelia,a genus of Columbidae,01817776-n,Ectopistes;genus Ectopistes,a genus of Columbidae
02002690-n,Peripatidae;family Peripatidae,a family of Onychophora,02003272-n,Peripatopsidae;family Peripatopsidae,a family of Onychophora
02040664-n,Lobipes;genus Lobipes,a genus of Phalaropidae,02040983-n,Steganopus;genus Steganopus,a genus of Phalaropidae
02050489-n,Fratercula;genus Fratercula,puffins,02050896-n,Lunda;genus Lunda,puffins
02249474-n,Dialeurodes;genus Dialeurodes,a genus of Aleyrodidae,02249728-n,Trialeurodes;genus Trialeurodes,a genus of Aleyrodidae
02260717-n,Philaenus;genus Philaenus,a genus of Cercopidae,02261006-n,Aphrophora;genus Aphrophora,a genus of Cercopidae
02263938-n,Liposcelis;genus Liposcelis,a genus of Psocidae,02264282-n,Trogium;genus Trogium,a genus of Psocidae
02451385-n,Arctonyx;genus Arctonyx,a genus of Mustelidae,02451691-n,Gulo;genus Gulo,a genus of Mustelidae,02453923-n,Eira;genus Eira,a genus of Mustelidae
02620319-n,Gymnelis;genus Gymnelis,a genus of Zoarcidae,02620586-n,Macrozoarces;genus Macrozoarces,a genus of Zoarcidae
02635917-n,Poronotus;genus Poronotus,a genus of Stromateidae,02636185-n,genus Palometa,a genus of Stromateidae,02636474-n,Paprilus;genus Paprilus,a genus of Stromateidae,02637347-n,Tetragonurus;genus Tetragonurus,a genus of Stromateidae
05608025-n,posterior naris,either one of the two posterior openings at the back of the nasal cavity leading to the nasopharynx,92315622-n,posterior nasal aperture;internal nostril;choana,either one of the two posterior openings at the back of the nasal cavity leading to the nasopharynx
09627401-n,Uncle Tom,a servile black character in a novel by Harriet Beecher Stowe,80147706-n,Uncle Tom,a servile black character in a novel by Harriet Beecher Stowe
09914590-n,career girl,a woman who is a careerist,82046135-n,career woman,a woman who is a careerist
09930684-n,charwoman;char;cleaning woman;cleaning lady,a human female employed to do housework,81448123-n,cleaning man,a human female employed to do housework
10007754-n,dairymaid;milkmaid,a woman who works in a dairy,83218519-n,dairywoman,a woman who works in a dairy
10788856-n,washwoman;washerwoman;laundrywoman;laundress,a working woman who takes in washing,87970505-n,washman,a working woman who takes in washing
81007314-n,counterwoman,a female who attends a counter (as in a diner),89117996-n,counterwoman,a female who attends a counter (as in a diner)
08564718-n,county seat;county courthouse,the town or city that is the seat of government for a county,08564875-n,county town;shire town,the town or city that is the seat of government for a county
08960709-n,Lower Normandy;Basse-Normandie;Lower-Normandy,a division of Normandy,08962281-n,Upper Normandy;Haute-Normandie;Upper-Normandy,a division of Normandy
00006055-r,alarmingly,in an alarming manner,00508189-r,fearfully,in an alarming manner
