ID,Definition,Lemmas,Part Of Speech,Relations,Accept,Reject,Update Definition,Notes
pl-365838,a B vitamin that is essential for metabolism of amino acids and starch,pyridoxamine 5'-phosphate;pyridoxine 5'-phosphate,n,hyponym=wn31-15115309-n;hypernym=pl-406567,TRUE,TRUE,,
pl-449083,a caustic curve formed by light reflecting from a curved surface.,catacaustic,n,hyponym=pl-440865,TRUE,FALSE,,
pl-326409,"a circular helping of food (especially a boneless cut of meat) ""medallions of veal""",medallion,n,hyponym=wn31-07593928-n;hyponym=wn31-07673512-n,TRUE,FALSE,,
pl-299310,"a defensive missile designed to shoot down incoming intercontinental ballistic missiles; ""the Strategic Arms Limitation Talks placed limits on the deployment of ABMs""  ",anti-ballistic missile,n,hyponym=wn31-03471094-n,TRUE,FALSE,,
pl-363714,a grey or green fibrous mineral; an important source of commercial asbestos,white asbestos,n,hyponym=wn31-14749770-n,TRUE,FALSE,,
wn31-08164801-n,"a group of people living under a religious rule; ""the order of Saint Benedict""  ",order;monastic order,n,hypernym=pl-416898;hypernym=pl-417370;hypernym=pl-417326;hypernym=pl-416871;hypernym=pl-417347;hypernym=pl-417378;hypernym=pl-416900;hypernym=pl-417725;hypernym=pl-416904;hyponym=wn31-08166788-n;hypernym=wn31-08165074-n;hypernym=wn31-08165608-n;hypernym=wn31-08165834-n;hypernym=wn31-08166011-n;hypernym=wn31-08166167-n;hypernym=wn31-08166321-n;hypernym=wn31-08166480-n;hypernym=pl-418438;hypernym=pl-428526;hypernym=pl-428442;hypernym=pl-419068;hypernym=pl-418388;hypernym=pl-416852;hypernym=pl-416902;hypernym=pl-418003;hypernym=pl-418881;hypernym=pl-417363;hypernym=pl-417359;hypernym=pl-417365;hypernym=pl-417371;hypernym=pl-417377;hypernym=pl-417379;hypernym=pl-417381;hypernym=pl-417437;hypernym=pl-417438;hypernym=pl-417439;hypernym=pl-417440;hypernym=pl-417443;hypernym=pl-417444;hypernym=pl-417623;hypernym=pl-417715;hypernym=pl-418104;hypernym=pl-418111;hypernym=pl-418119;hypernym=pl-418435;hypernym=pl-418442;hypernym=pl-418598;hypernym=pl-418889;hypernym=pl-418935;hypernym=pl-419029;hypernym=pl-419036;hypernym=pl-419043;hypernym=pl-420571;hypernym=pl-420579;hypernym=pl-420760;hypernym=pl-420782;hypernym=pl-420963;hypernym=pl-421880;hypernym=pl-421924;hypernym=pl-422018;hypernym=pl-424410;hypernym=pl-427483;hypernym=pl-427491;hypernym=pl-427530;hypernym=pl-427551;hypernym=pl-427763;hypernym=pl-427863;hypernym=pl-427885;hypernym=pl-427892;hypernym=pl-427927;hypernym=pl-428445,FALSE,TRUE,,Already in WordNet!
pl-363685,a magnetic allotrope of iron; stable below 906 degrees centigrade,ferrite;alpha-ferrite;alpha-Fe,n,hyponym=wn31-14666595-n;mero_substance=wn31-14883352-n,TRUE,FALSE,,Non-unicode characters
pl-419389,a measurement of a temperature difference by which an object or material resists a heat flow.,thermal resistance,n,hyponym=wn31-05016354-n,TRUE,FALSE,,related to thermal resistor
pl-438002,a method for solving problems in linear programming that tests adjacent vertices of the feasible set in sequence so that at each new vertex the objective function improves or is unchanged. [##P: The simplex algorithm begins at a starting vertex and moves along the edges of the polytope until it reaches the vertex of the optimum solution.],simplex method;simplex algorithm,n,hyponym=wn31-05855965-n,TRUE,FALSE,,
pl-404763,a mobile phone with more advanced computing capability and connectivity than basic feature phones,smart phone;smartphone,n,hyponym=wn31-02995984-n;hypernym=pl-404762,TRUE,FALSE,,Overlap with ColloqWN?
pl-437987,a model of human personality which is principally understood and taught as a typology of nine interconnected personality types.,Enneagram,n,hyponym=wn31-01015913-n,TRUE,FALSE,,
pl-363352,a radioactive transuranic element,Fl;flerovium,n,hyponym=wn31-14648369-n;hyponym=pl-464177,TRUE,FALSE,,
pl-404762,a smartphone designed and marketed by Apple Inc.,iPhone,n,hyponym=pl-404763,TRUE,FALSE,,
pl-423533,A strong reddish brown color.,rust,n,hyponym=wn31-04969961-n,TRUE,FALSE,,
pl-427724,"a substance that promotes drying (e.g., calcium oxide absorbs water and is used to remove moisture)",oil drying agent,n,hyponym=wn31-14803955-n,TRUE,FALSE,,
pl-441923,a system in which a person's descent is traced through their mother and her maternal ancestors.,matrilineality,n,hyponym=wn31-05669841-n,TRUE,FALSE,,
pl-302385,a system of watercourses or drains for carrying off excess water,storm drain;stormwater drain;drain system;drainage well;storm sewer,n,hyponym=wn31-04384144-n,TRUE,FALSE,,Reject 'drain system' as a member
