Lemma,Synset,Masculine
abbess,09773548-n,abbot
accoucheuse,10334494-n,accoucheur
actress,09787123-n,actor
adulteress,09792353-n,adulterer
adventuress,09792592-n,adventurer
agony aunt,09798902-n,agony uncle
air hostess,10675314-n,air host
airwoman,09846007-n,airman
alley cat,02125162-n,NONE
alumna,09805779-n,alumnus
amazon,01820940-n,NONE
amazon,09806734-n,NONE
ambassadress,09807319-n,ambassador
assemblywoman,09833893-n,assemblyman
authoress,09843467-n,author
aviatrix,09846007-n,aviator
baby mama,90019431-n,baby papa
ballerina,09853980-n,ballet dancer
barmaid,09859090-n,barman
black widow,01777025-n,NONE
blonde,04973194-n,blond
blonde,09879912-n,blond
bluestocking,09881005-n,NONE
bridal,01039501-n,NONE
bride,09894084-n,groom
bride,09894191-n,groom
bridesmaid,09894328-n,groomsman
bride-to-be,10105739-n,groom-to-be
brownie,07651880-n,NONE
brownie,09563850-n,NONE
brunette,09897322-n,NONE
bunny girl,09899655-n,NONE
businesswoman,09902067-n,businessman
butch,05268304-n,NONE
butch,09903399-n,NONE
call girl,09908517-n,NONE
chairwoman,10488547-n,chairman
chambermaid,09925746-n,NONE
charwoman,09930684-n,charman
cocotte,03066339-n,NONE
cocotte,10505025-n,NONE
co-ed,09953671-n,NONE
coiffeuse,09954304-n,coiffeur
comfort woman,09960630-n,comfort man
conductress,09972754-n,conductor
coquette,09984664-n,coquet
cougar,02127963-n,NONE
councilwoman,09964410-n,councilman
countess,09989932-n,count
countrywoman,09990577-n,countryman
countrywoman,09990803-n,countryman
courtesan,09971872-n,courtier
cover girl,09991988-n,cover boy
cowgirl,09992952-n,cowboy
crone,10175045-n,NONE
dame,10008583-n,NONE
dame,10008828-n,NONE
damsel,10008706-n,NONE
daygirl,10013857-n,NONE
debutante,10017372-n,NONE
demimondaine,10021475-n,NONE
diva,10491317-n,NONE
dolly,03223838-n,NONE
dolly,03224315-n,NONE
dolly,03224435-n,NONE
duchess,10058134-n,duke
empress,10073247-n,emperor
enchantress,10075105-n,enchanter
enchantress,10075218-n,enchanter
fangirl,90009741-n,fanboy
femme fatale,10075218-n,NONE
first lady,10112563-n,first gentleman
first lady,10112649-n,first gentleman
fishwife,10113587-n,NONE
flapper,10115189-n,NONE
floozie,10682754-n,NONE
Florence Nightingale,11227400-n,NONE
flower girl,10117611-n,flower boy
flower girl,10117764-n,flower boy
forelady,10124752-n,foreman
forewoman,10124657-n,foreman
forewoman,10124752-n,foreman
foundress,10127787-n,founder
Frenchwoman,09727801-n,Frenchman
gamine,10139266-n,NONE
gamine,10139342-n,NONE
gentlewoman,10008828-n,gentleman
giantess,09513887-n,giant
girl Friday,10150104-n,boy Friday
girlfriend,10150206-n,boyfriend
girlfriend,10150397-n,boyfriend
golf widow,10157018-n,golf widower
grande dame,10161686-n,NONE
hag,01481152-n,NONE
hag,10175045-n,NONE
handmaid,10178779-n,NONE
handmaid,13975389-n,NONE
handmaiden,10178779-n,NONE
handmaiden,13975389-n,NONE
harridan,10180866-n,NONE
headmistress,10183990-n,headmaster
heiress,10188740-n,heir
heroine,10192976-n,hero
heroine,10193081-n,hero
hostess,10206678-n,host
hostess,10207110-n,host
hostess,10675314-n,host
housemother,10208678-n,housefather
hussy,09792353-n,NONE
hussy,90012011-n,NONE
Joan of Arc,11101343-n,NONE
kept woman,10343410-n,kept man
kinswoman,10256766-n,kinsman
lady-in-waiting,10262970-n,NONE
lady's maid,10263180-n,NONE
landlady,10264853-n,landlord
lass,10267055-n,NONE
laundress,10788856-n,NONE
light-o'-love,10282040-n,NONE
madam,10008828-n,mister
madam,10299366-n,mister
maenad,09806831-n,NONE
maenad,10299731-n,NONE
maid,10302179-n,NONE
maid,10302369-n,NONE
maiden,10302179-n,NONE
