06383357-n,Arthurian legend,the legend of King Arthur and his court at Camelot
06384713-n,parable,(New Testament) any of the stories told by Jesus to convey his religious message
06444046-n,"Genesis, Book of Genesis",the first book of the Old Testament: tells of Creation; Adam and Eve; the Fall of Man; Cain and Abel; Noah and the flood; God's covenant with Abraham; Abraham and Isaac; Jacob and Esau; Joseph and his brothers
06448609-n,"Job, Book of Job",a book in the Old Testament containing Job's pleas to God about his afflictions and God's reply
06458146-n,"Epistle to the Hebrews, Hebrews",a New Testament book traditionally included among the epistle of Saint Paul but now generally considered not to have been written by him
06469282-n,Lord's Prayer,the prayer that Christ gave his disciples in the Sermon on the Mount (Matthew 6:9-13)
06473279-n,"Koran, Quran, al-Qur'an, Book",the sacred writings of Islam revealed by God to the prophet Muhammad during his life at Mecca and Medina
06475694-n,Ramayana,one of two classical Hindu epics telling of the banishment of Rama from his kingdom and the abduction of his wife by a demon and Rama's restoration to the throne
06486274-n,"self-report personality inventory, self-report inventory",a personality inventory in which a person is asked which of a list of traits and characteristics describe her or him or to indicate which behaviors and hypothetical choices he or she would make
06487604-n,"Sixteen Personality Factor Questionnaire, 16 PF",a self-report personality inventory developed by Raymond B. Cattell to measure the 16 personality dimensions that emerged from his factor analysis of a wide range of traits
06534775-n,cost-plus contract,a contract in which the contractor is paid his total cost plus a stated percentage of profit
06537579-n,covenant,(Bible) an agreement between God and his people in which God makes certain promises and requires certain behavior from them in return
06556832-n,living will,a document written by someone still legally capable requesting that he should be allowed to die if subsequently severely disabled or suffering terminal illness
06560101-n,"cachet, lettre de cachet",a warrant formerly issued by a French king who could warrant imprisonment or death in a signed letter under his seal
06572930-n,"nolo contendere, non vult",(law) an answer of `no contest' by a defendant who does not admit guilt but that subjects him to conviction
06574427-n,libel,the written statement of a plaintiff explaining the cause of action (the defamation) and any relief he seeks
06676530-n,caveat emptor,a commercial principle that without a warranty the buyer takes upon himself the risk of quality
06727123-n,curtain lecture,a private lecture to a husband by his wife
06744259-n,submission,(law) a contention presented by a lawyer to a judge or jury as part of the case he is arguing
06753794-n,alibi,(law) a defense by an accused person purporting to show that he or she could not have committed the crime in question
06760984-n,Parallel Lives,a collection of biographies of famous pairs of Greeks and Romans written by Plutarch; used by Shakespeare in writing some of his plays
07119711-n,polysyndeton,"using several conjunctions in close succession, especially where some might be omitted (as in `he ran and jumped and laughed for joy')"
07121768-n,"dead metaphor, frozen metaphor","a metaphor that has occurred so often that it has become a new meaning of the expression (e.g., `he is a snake' may once have been a metaphor but after years of use it has died and become a new sense of the word `snake')"
07153212-n,indirect discourse,"a report of a discourse in which deictic terms are modified appropriately (e.g., `he said ""I am a fool""' would be modified to `he said he is a fool')"
07207321-n,"margin call, call",a demand by a broker that a customer deposit enough to bring his margin up to the minimum requirement
07291437-n,"International Wanted Notice, Red Notice",an Interpol notice describing a wanted person and asking that he or she be arrested with a view to extradition; a wanted notice that is issued by Interpol at the request of an Interpol member country and distributed to all member countries
07297634-n,"Capital: Critique of Political Economy, Das Kapital, Capital",a book written by Karl Marx (1867) describing his economic theories
92461168-n,Improperium,"(usually plural) one of a series of antiphons and responses expressing the remonstrance of Jesus Christ with his people, usually sung on Good Friday."
02400336-v,cover,help out by taking someone's place and temporarily assuming his responsibilities
02417305-v,"take over, relieve",free someone temporarily from his or her obligations
02489153-v,"draw, quarter, draw and quarter","pull (a person) apart with four horses tied to his extremities, so as to execute him"
02501241-v,bind over,order a defendant to be placed in custody pending the outcome of a proceedings against him or her
02509282-v,repatriate,"send someone back to his homeland against his will, as of refugees"
02539263-v,"breathalyze, breathalyse",test someone's alcohol level in his blood by means of a breathalyzer
02578724-v,"short-change, short",cheat someone by not returning him enough money
02598049-v,parole,release a criminal from detention and place him on parole
02649956-v,probate,put a convicted person on probation by suspending his sentence
13952369-n,short account,a brokerage account of someone who sells short (sells securities he does not own)
14068623-n,"erectile dysfunction, male erecticle dysfunction, ED",impotence resulting from a man's inability to have or maintain an erection of his penis
14486915-n,"tragic flaw, hamartia",the character flaw or error of a tragic hero that leads to his downfall
14497501-n,providence,a manifestation of God's foresightful care for his creatures
14595655-n,transsexualism,condition in which a person identifies with a gender different from his or her physical gender
01938064-v,"corner, tree",force a person or an animal into a position from which he cannot escape
02089014-v,frogmarch,march a person against his will by any method
01649842-v,drive,"compel somebody to do something, often against his own will or judgment"
00070738-n,breach of trust,violation (either through fraud or negligence) by a trustee of a duty that equity requires of him
00088669-n,addiction,(Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor); a surrender to a master
00110047-n,"spitball, spitter",an illegal pitch in which a foreign substance (spit or Vaseline) is applied to the ball by the pitcher before he throws it
00134801-n,knockdown,a blow that knocks the opponent off his feet
00138529-n,corner kick,a free kick from the corner awarded to the other side when a player has sent the ball behind his own goal line
00140364-n,fair catch,(American football) a catch of a punt on the fly by a defensive player who has signalled that he will not run and so should not be tackled
00188348-n,own goal,(soccer) a goal that results when a player inadvertently knocks the ball into the goal he is defending
00189469-n,safety,a score in American football; a player is tackled behind his own goal line
00222594-n,mariticide,the murder of a husband by his wife
00416553-n,peonage,the practice of making a debtor work for his creditor until the debt is discharged
00435784-n,crucifix,a gymnastic exercise performed on the rings when the gymnast supports himself with both arms extended horizontally
00436122-n,double leg circle,a gymnastic exercise performed on the pommel horse when the gymnast (with legs together) swings his legs in a circle while alternating hands on the pommels
00439665-n,scissors,a gymnastic exercise performed on the pommel horse when the gymnast moves his legs as the blades of scissors move
00447617-n,rope-a-dope,a boxing tactic: pretending to be trapped against the ropes while your opponent wears himself out throwing punches
00485921-n,"hide-and-seek, hide and go seek",a game in which a child covers his eyes while the other players hide then tries to find them
00492377-n,"contract, contract bridge",a variety of bridge in which the bidder receives points toward game only for the number of tricks he bid
00493735-n,faro,a card game in which players bet against the dealer on the cards he will draw from a dealing box
00494319-n,"Michigan, Chicago, Newmarket, boodle, stops",a gambling card game in which chips are placed on the ace and king and queen and jack of separate suits (taken from a separate deck); a player plays the lowest card of a suit in his hand and successively higher cards are played until the sequence stops; the player who plays a card matching one in the layout wins all the chips on that card
00550803-n,"method acting, method",an acting technique introduced by Stanislavsky in which the actor recalls emotions or reactions from his or her own life and uses them to identify with the character being portrayed
00572320-n,backstroke,a swimming stroke that resembles the crawl except the swimmer lies on his or her back
00580601-n,service,(law) the acts performed by an English feudal tenant for the benefit of his lord which formed the consideration for the property granted to him
00622566-n,corvee,unpaid labor (as for the maintenance of roads) required by a lord of his vassals in lieu of taxes
00727818-n,"quarterback, signal caller, field general",(American football) the position of the football player in the backfield who directs the offensive play of his team
00774891-n,"rape, violation, assault, ravishment",the crime of forcing a person to submit to sexual intercourse against his or her will
00815636-n,hammerlock,a wrestling hold in which the opponent's arm is twisted up behind his back
00815935-n,Japanese stranglehold,a wrestling hold in which the opponent's arms are crossed in front of his own neck to exert pressure on his windpipe
00843188-n,Dutch treat,a dinner where each person pays for his own
00848447-n,penetration,the act (by a man) of inserting his penis into the vagina of a woman
00912231-n,"lip synchronization, lip synchronisation, lip synch, lip sync",combining audio and video recording in such a way that the sound is perfectly synchronized with the action that produced it; especially synchronizing the movements of a speaker's lips with the sound of his speech
00972183-n,Sixth Crusade,a Crusade from 1228 to 1229 led by the Holy Roman Emperor Frederick II who fell ill and was excommunicated by the Pope; by negotiation Frederick II was able to crown himself king of Jerusalem
