Key,Old Definition (NTU),Old Definition (EWN),New Definition,NTU,EWN,New,Other
ewn-00009835-r,completely,completely; used as intensifiers,absolutely,FALSE,TRUE,FALSE,
ewn-00023420-a,not exact,not accurate,erroneous,FALSE,FALSE,TRUE,
ewn-00032295-r,used as intensifiers,used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal,used to give emphasis,FALSE,FALSE,TRUE,
ewn-00050548-n,the act of entering,"an entrance, especially a theatrical entrance onto a stage or as if onto a stage",the act or manner of entering,FALSE,TRUE,FALSE,
ewn-00051791-s,adequate for the purpose,"adequate, but not outstanding or exceptional",satisfactory for the purpose,FALSE,TRUE,FALSE,
ewn-00058239-v,birth,give birth to (a puppy),to birth (of a dog),FALSE,TRUE,FALSE,
ewn-00058651-v,birth,give birth to (a calf),"to birth (of cows, whales, and any animal that produces young called calves)",FALSE,TRUE,FALSE,
ewn-00090922-s,very unpleasant,extremely disagreeable and unpleasant,"causing suffering, fear or unhappiness",FALSE,TRUE,FALSE,
ewn-00103874-r,immediately,on first seeing (someone or something); immediately,at first perception,FALSE,TRUE,FALSE,
ewn-00109067-v,inhale audibly through the nose,inhale (something) through the nose,draw through the nostrils by the act of inhalation,FALSE,TRUE,FALSE,
ewn-00203298-v,restrain,change by restraining or moderating,check or curb,FALSE,TRUE,FALSE,
ewn-00333090-r,in an irregular manner,at an uneven rate,in an uneven or spasmodic manner,FALSE,TRUE,FALSE,
ewn-00382155-r,without bounds,(spatial sense) seeming to have no bounds,without limits,FALSE,TRUE,FALSE,
ewn-00403480-a,having striking color,having much or varied color,having striking and/or varied colors,FALSE,TRUE,FALSE,
ewn-00403922-s,having striking color,having strong or striking color,having intense color,FALSE,TRUE,FALSE,
ewn-00443377-n,the act of swimming,the act of swimming for pleasure or recreation,the act of swimming or spending time in the water,FALSE,TRUE,FALSE,
ewn-00472504-r,in a romantic manner,in an idealistic and unrealistic manner,in a romantic manner; idealistic,FALSE,TRUE,FALSE,
ewn-00524044-s,complete,complete and absolute,absolute,FALSE,TRUE,FALSE,
ewn-00525986-s,thorough,complete; thorough,thorough and severe,FALSE,TRUE,FALSE,
ewn-00529920-s,broad in scope or content,comprehensive in scope or content (as an encyclopedia),comprehensive in scope or content,FALSE,TRUE,FALSE,
ewn-00537516-s,not clearly understood or expressed,hard or impossible to understand,"difficult to understand, poorly expressed",FALSE,TRUE,FALSE,
ewn-00627729-s,fairly large,"of considerable importance, size, or worth",of considerable size,FALSE,TRUE,FALSE,
ewn-00700266-s,disposed or willing to comply,disposed or willing to conform,"open to suggestion, cooperative",FALSE,TRUE,FALSE,
ewn-00700543-s,offering no resistance,not resistant,"offering no resistance, compliant",FALSE,FALSE,TRUE,
ewn-00728118-n,the position of a back on a football team,(American football) an offensive position in the backfield,"the position of a back on a football team, generally larger in size than halfbacks",FALSE,FALSE,FALSE,"(American football) the position of a back on a football team, generally larger in size than halfbacks"
ewn-00728250-n,the position of a back on a football team,(American football) an offensive back usually positioned behind the quarterback and to the side of the fullback,"the position of a back on a football team, generally smaller in size than a fullback",FALSE,FALSE,FALSE,"(American football) the position of a back on a football team, generally smaller in size than a fullback"
ewn-00751514-n,an act of betrayal,"a betrayal of one's principles principles, country, cause, etc.",a betrayal of one's principles,FALSE,TRUE,FALSE,
ewn-00768832-s,without reservation,forthright and explicit,outright,FALSE,TRUE,FALSE,
ewn-00923033-s,highly excited,"highly excited by eagerness, curiosity, etc.",in a state of great enthusiasm,FALSE,TRUE,FALSE,
ewn-01149209-s,extremely steep,so steep as to be nearly vertical,extremely steep (to the extent of being vertical),FALSE,TRUE,FALSE,
ewn-01159816-s,having attained to kindliness or gentleness through age and experience,softened through age or experience,having attained kindliness or gentleness through age and experience,FALSE,TRUE,FALSE,
ewn-01164308-n,the act of punishing,the act of disciplining,the act of castigating,FALSE,TRUE,FALSE,
ewn-01253778-s,extremely hot,extremely hot and dry,intensely hot,FALSE,TRUE,FALSE,
ewn-01320185-s,free from constraint,unrestrained and uninhibited,uninhibited,FALSE,TRUE,FALSE,
ewn-01335723-n,a family of arborviruses carried by arthropods,a family of arboviruses carried by arthropods,"a family of round, pleomorphic arborviruses carried by arthropods",FALSE,FALSE,TRUE,
ewn-01335942-n,a family of arborviruses carried by arthropods,a family of arboviruses carried by arthropods,a family of rod-shaped arborviruses carried by arthropods,FALSE,FALSE,TRUE,
ewn-01362125-a,in an artificial environment outside the living organism,of a biological process occurring in an artificial environment outside the living organism,under artificial conditions outside the living organism,FALSE,TRUE,FALSE,
ewn-01397180-s,very small,extremely small,extremely small,FALSE,TRUE,FALSE,
ewn-01461111-a,used chiefly as a direction or description in music,"(used chiefly as a direction or description in music) soft; in a quiet, subdued tone","used chiefly as a direction or description in music, indicating that said piece or segment should be played softly",FALSE,TRUE,FALSE,
ewn-01461461-s,chiefly a direction or description in music; very soft,(chiefly a direction or description in music) very soft,chiefly a direction or description in music; extremely soft,FALSE,TRUE,FALSE,
ewn-01461579-a,used chiefly as a direction or description in music,(used chiefly as a direction or description in music) loud; with force,"used chiefly as a direction or description in music, indicating that said piece or segment should be played loudly",FALSE,FALSE,FALSE,(used chiefly as a direction or description in music) indicating that said piece or segment should be played loudly
