Tags,Key,Link,Lemmas,Old Definition,New Definition,Reason for Change,Accept,Defer,Reject
[DIFF] [DUP],ewn-00004227-r,https://en-word.net/id/ewn-00004227-r,boiling,extremely,passionately or agitatedly,Not unique (Shared among 00003846-r 00025144-r 00046449-r 00046639-r 00046863-r 00132532-r 00182199-r 00196540-r 00349967-r 00429274-r 00444324-r 00452412-r 00466652-r 00494756-r 00495446-r) so OMW team changed it,TRUE,FALSE,FALSE
[DIFF] [DUP],ewn-00005948-r,https://en-word.net/id/ewn-00005948-r,automatically,in a reflex manner,involuntarily,Not unique (Shared among 00005567-r 00191776-r) so OMW team changed it,FALSE,FALSE,TRUE
[DIFF] [DUP],ewn-00007257-r,https://en-word.net/id/ewn-00007257-r,"smartly, modishly, sprucely",in a stylish manner,in a fashionable manner,Not unique (Shared among 00006858-r 00469822-r) so OMW team changed it,TRUE,FALSE,FALSE
[DIFF] [DUP],ewn-00007846-n,https://en-word.net/id/ewn-00007846-n,"person, individual, someone, somebody, mortal, soul",a human being,"a human being; person, singular, assertive existential pronoun; pronoun, person, singular; quantifier: assertive existential",Not unique (Shared among 00007846-n 09976429-n) so OMW team changed it,TRUE,FALSE,FALSE
[DIFF] [DUP],ewn-00009835-r,https://en-word.net/id/ewn-00009835-r,"clean, plumb, plum",completely,absolutely,Not unique (Shared among 00009373-r 00152286-r 00205125-r 00285854-r 00465341-r) so OMW team changed it,TRUE,FALSE,FALSE
[DIFF] [DUP],ewn-00020735-r,https://en-word.net/id/ewn-00020735-r,"constantly, always, forever, perpetually, incessantly",without interruption,invariably,Not unique (Shared among 00020280-r 00488403-r) so OMW team changed it,TRUE,FALSE,FALSE
[DIFF] [DUP],ewn-00022092-v,https://en-word.net/id/ewn-00022092-v,"bring_to, bring_back, bring_round, bring_around",return to consciousness,call to mind,Not unique (Shared among 00022099-v 00024047-v) so OMW team changed it,TRUE,FALSE,FALSE
[DIFF] [DUP],ewn-00023420-a,https://en-word.net/id/ewn-00023420-a,inaccurate,not exact,erroneous,Not unique (Shared among 00023383-a 00915787-a) so OMW team changed it,TRUE,FALSE,FALSE
[DIFF] [DUP],ewn-00025503-r,https://en-word.net/id/ewn-00025503-r,"bloody, damn, all-fired",extremely,utterly,Not unique (Shared among 00003846-r 00025144-r 00046449-r 00046639-r 00046863-r 00132532-r 00182199-r 00196540-r 00349967-r 00429274-r 00444324-r 00452412-r 00466652-r 00494756-r 00495446-r) so OMW team changed it,FALSE,FALSE,TRUE
[DIFF] [DUP],ewn-00029763-r,https://en-word.net/id/ewn-00029763-r,"furthermore, moreover, what_is_more",in addition,besides; in addition,Not unique (Shared among 00029367-r 00045607-r 00047534-r) so OMW team changed it,TRUE,FALSE,FALSE
[DIFF] [DUP],ewn-00032295-r,https://en-word.net/id/ewn-00032295-r,"very, really, real, rattling",used as intensifiers,used to give emphasis,Not unique (Shared among 00009373-r 00031899-r 00054950-r) so OMW team changed it,TRUE,FALSE,FALSE
[DIFF] [DUP],ewn-00033190-r,https://en-word.net/id/ewn-00033190-r,much,very,incredibly,Not unique (Shared among 00032803-r 00112009-r 00212604-r) so OMW team changed it,TRUE,FALSE,FALSE
[DIFF] [DUP],ewn-00040189-s,https://en-word.net/id/ewn-00040189-s,"resistless, supine, unresisting",offering no resistance,"offering no resistance, passively accepting of a situation",Not unique (Shared among 00040058-a 00697089-a) so OMW team changed it,TRUE,FALSE,FALSE
[DIFF] [DUP],ewn-00046047-r,https://en-word.net/id/ewn-00046047-r,beyond,in addition,over and above,Not unique (Shared among 00029367-r 00045607-r 00047534-r) so OMW team changed it,TRUE,FALSE,FALSE
[DIFF] [DUP],ewn-00046987-r,https://en-word.net/id/ewn-00046987-r,drop-dead,extremely,stunningly or breathtakingly,Not unique (Shared among 00003846-r 00025144-r 00046449-r 00046639-r 00046863-r 00132532-r 00182199-r 00196540-r 00349967-r 00429274-r 00444324-r 00452412-r 00466652-r 00494756-r 00495446-r) so OMW team changed it,TRUE,FALSE,FALSE
[DIFF] [DUP],ewn-00047177-r,https://en-word.net/id/ewn-00047177-r,"madly, insanely, deadly, deucedly, devilishly",extremely,excessively,Not unique (Shared among 00003846-r 00025144-r 00046449-r 00046639-r 00046863-r 00132532-r 00182199-r 00196540-r 00349967-r 00429274-r 00444324-r 00452412-r 00466652-r 00494756-r 00495446-r) so OMW team changed it,TRUE,FALSE,FALSE
