Synset ID,Definition,Members,New Synset,New Member,
02547618-v,be representative or typical for,represent,00833312-v,inform,
02613467-v,"be the sole or primary factor in the existence, acquisition, supply, or disposal of something",account,02622439-v,be,
02613693-v,be contrary to ordinary procedure or limitations,cut across,02724418-v,disagree,
02614858-v,have a beginning characterized in some specified way,"begin, start",02609706-v,be,
02615238-v,"have a beginning, of a temporal event",begin,02614382-v,begin,
02617408-v,be in some specified state or condition,stand,02610777-v,be,?
02617665-v,determine the essential quality of,"specify, define, delineate, delimit, delimitate",00920843-v,determine,
02624054-v,be or continue to be in a certain condition,go,02609706-v,be,
02625692-v,be reasonable or logical or comprehensible,"make sense, add up",02609706-v,be,
02639437-v,be composed of,"consist, comprise",02639021-v,include,
02639962-v,be shown or be found to be,"prove, turn out, turn up",02622439-v,be,
02641114-v,be the reason or explanation for,account for,00894956-v,explain,
02643676-v,"be left; of persons, questions, problems, results, evidence, etc.",remain,02609706-v,exist,
02644714-v,be loyal to,"stand by, stick by, stick, adhere",02463535-v,relate,
02645159-v,be about a place without any apparent purpose,"loiter, lounge, footle, lollygag, loaf, lallygag, hang around, mess about, tarry, linger, lurk, mill about, mill around",02644022-v,wait,
02651091-v,add up in number or quantity,"total, number, add up, come, amount",02622439-v,be,
02651923-v,"have weight; have import, carry weight","count, matter, weigh",02609706-v,exist,
02652311-v,be worthy of or have a certain rating,rate,02622439-v,be,
02652462-v,be worthy or deserving,"deserve, merit",02634015-v,call for,
02652841-v,be worth or be capable of buying,buy,02215637-v,acquire,?
02662054-v,be clear and obvious,shine,00941308-v,explain,
02667093-v,be due,fall,00340744-v,occur,
02670312-v,be contingent upon (something that is elided),depend,02634015-v,require,
02670653-v,be or form the base for,underlie,02609706-v,exist,
02674167-v,be appropriate or necessary,"behoove, behove",02634015-v,require,
02679962-v,be extremely bad in quality or in one's performance,stink,02609706-v,exist,
02680129-v,be inadequate or objectionable,"suck, blow",02609706-v,exist,
02699684-v,"be opposite to; of angles and sides, in geometry","subtend, delimit",02672590-v,oppose,
02704285-v,represent in bodily form,"incarnate, body forth, embody, substantiate",02705339-v,represent,
02707070-v,be capable of holding or containing,"contain, take, hold",02208144-v,have,
02708368-v,be priced at,"cost, be",02622439-v,be,
02710209-v,have certain dimensions,measure,02622439-v,be,
02712465-v,be noisy with activity,"hum, buzz, seethe",02180712-v,sound,
02721154-v,be abundant or plentiful; exist in large quantities,abound,02609706-v,exist,
