Synset ID,Definition,Members,Previous Hypernyms,New Hypernym ID,New Hypernym Definition,New Hypernym Members,True Hypernym,Frame change,
02584595-v,behave as expected during of holidays or rites,"observe, celebrate, keep",,00010428-v,behave in a certain manner; show a certain behavior; conduct or comport oneself,"act, behave, do",,x,
01725433-v,behave unnaturally or affectedly,"dissemble, pretend, act",,00010428-v,behave in a certain manner; show a certain behavior; conduct or comport oneself,"act, behave, do",x,,
00015706-v,sleep longer than intended,oversleep,,00014735-v,be asleep,"sleep, kip, slumber, log Z's, catch some Z's",x,,
02719247-v,extend out or project in space,"stick out, protrude, jut out, jut, project",,00027698-v,thrust or extend out,"exsert, stretch out, put out, extend, hold out, stretch forth",x,,
00107925-v,break (a bone) that was previously broken but mended in an abnormal way,refracture,00107543-v,00107543-v,break (a bone),fracture,x,,
02629610-v,come into existence,become,,00109468-v,undergo a change; become different in essence; losing one's or its original nature,change,x,,
02672316-v,be different,differ,,00109468-v,undergo a change; become different in essence; losing one's or its original nature,change,x,,
00426024-v,"come into being or existence, or appear on the scene","appear, come along",,00109468-v,undergo a change; become different in essence; losing one's or its original nature,change,x,,
02172999-v,render unable to see,blind,,00126072-v,,change,x,,
01835473-v,"move so as to change position, perform a nontranslational motion",move,,02372362-v,,,,x,
01839438-v,"change location; move, travel, or proceed, also metaphorically","travel, go, move, locomote",,02372362-v,,,,x,
01859592-v,"change residence, affiliation, or place of employment",pro,,00122978-v,"become different in some particular way, without permanently losing one's or its former characteristics or essence","change, alter, vary",x,,
01864781-v,"come to a halt, stop moving","stop, halt",,00122978-v,"become different in some particular way, without permanently losing one's or its former characteristics or essence","change, alter, vary",x,,
00017275-v,change from a waking to a sleeping state,"fall asleep, dope off, flake out, drift off, nod off, drop off, doze off, drowse off",,00122978-v,"become different in some particular way, without permanently losing one's or its former characteristics or essence","change, alter, vary",x,,
02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off",,00353480-v,cause to change; make different; cause a transformation,end,x,,
02196212-v,lend flavor to,"season, flavor, flavour",,00126072-v,cause to change; make different; cause a transformation,"change, alter, modify",x,,
00723679-v,bring to light,rake up,,00935783-v,,reveal,x,,
02039160-v,form an arch over,"overarch, arch over",,00144670-v,assume a form or shape,form,,x,
02439823-v,become part of; become a member of a group or organization,"join, fall in, get together",,02372362-v,,,,x,
02602110-v,get to know; get acquainted with,meet,,00600349-v,,,,x,
02603092-v,get involved or mixed-up with,mingle,,02439823-v,,join,x,,
02777127-v,become clear,"clear up, clear, light up, brighten",,00122978-v,,change,x,,
02110960-v,to become aware of through the senses,"perceive, comprehend",,00600349-v,,learn,x,,
02162464-v,become glassy; lose clear vision,"film over, glaze over, blur",,00122978-v,,change,x,,
01084999-v,become a participant; be involved in,"enter, participate",,02439823-v,,join,x,,
00416668-v,become established,set in,,02614382-v,,start,,,
00427911-v,"get lost, as without warning or explanation","disappear, vanish, go away",,00122978-v,,change,x,,
00589500-v,become ignited,"fire, flame up",,00122978-v,,change,x,,
01231088-v,become punctured or penetrated,break,,00122978-v,,change,x,,
01491476-v,become overloaded,overload,,00122978-v,,change,,,
02205920-v,"to get into a position of having, e.g., safety, comfort",take,,02215637-v,,get,,,Light Verb
02323383-v,become bankrupt or insolvent; fail financially and close,fail,,00122978-v,,change,,,
01822083-v,become heartened or elated,rise,,00122978-v,,change,,,
01858665-v,remove or draw away by the force of suction,suction,,00173351-v,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract","remove, take, take away, withdraw",x,,
01342187-v,remove all or part of one's clothes to show one's body,"uncover, expose",,02142175-v,,,x,,
00564177-v,"raise demand, expand the money supply, or raise prices, after a period of deflation",reflate,,00230031-v,increase the level of,"enhance, heighten, raise",x,,
02428558-v,"consciously restrain from showing; of emotions, desires, impulses, or behavior","inhibit, bottle up, suppress",,00233707-v,prevent the action or expression of,"restrain, keep, keep back, hold back",x,,
01310556-v,"reduce the level of land, as by erosion",degrade,,00241924-v,reduce in size; reduce physically,"shrink, reduce",x,,
00307079-v,burst and release energy as through a violent chemical or physical reaction,"detonate, explode, blow up",,00306798-v,"burst outward, usually with noise","explode, burst",x,,
02384670-v,"begin work or acting in a certain capacity, office or job","start, take up",,00346415-v,take the first step or steps in carrying out an action,"get down, begin, get, start out, start, set about, set out, commence",x,,
02431018-v,start to operate or function or cause to start operating or functioning,"open, open up",,00346415-v,take the first step or steps in carrying out an action,"get down, begin, get, start out, start, set about, set out, commence",x,,
00589392-v,start or maintain a fire in,"fire, light, ignite",,00349400-v,"set in motion, cause to start","begin, lead off, start, commence",x,,
02625202-v,hang on during a trial of endurance,"last out, stay, ride out, outride",,00351115-v,"be persistent, refuse to stop","persevere, persist, hang in, hang on, hold on",x,,
00734575-v,stick to correctly or closely,"observe, keep, maintain",,00352060-v,keep to,"stick to, stick with, follow",x,,
00801045-v,make a retreat from an earlier commitment or activity,"retreat, pull back, back out, back away, crawfish, crawfish out, pull in one's horns, withdraw",,02686624-v,prevent completion,stop,x,,
00803288-v,cease to consider; put out of judicial consideration,"dismiss, throw out",,02686624-v,prevent completion,stop,x,,
00017858-v,prepare for sleep,"go to bed, turn in, bed, crawl in, kip down, hit the hay, hit the sack, sack out, go to sleep, retire",,01839438-v,,go,x,,
01089608-v,prepare oneself for a military confrontation,"arm, build up, fortify, gird",,00407168-v,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc","fix, prepare, set up, ready, gear up, set",x,,
02769241-v,throw or flash the light of (a lamp),shine,,00425822-v,emit a brief burst of light,flash,x,,
01722190-v,be performed for the first time,"premier, premiere",,00426024-v,"come into being or existence, or appear on the scene","appear, come along",x,,
01748492-v,have (one's work) issued for publication,publish,,00426024-v,"come into being or existence, or appear on the scene","appear, come along",x,,
01195525-v,be spent,go,,00428350-v,cease to exist,"vanish, disappear",x,,
01207951-v,be ingested,go down,,00428350-v,cease to exist,"vanish, disappear",x,,
00059330-v,carry out a pregnancy,carry to term,,00485097-v,come or bring to a finish or an end,"complete, finish",x,,
02604762-v,come into the company of,join,,02492581-v,,meet,x,,
00423043-v,come into sight or view,appear,,00543200-v,"reach or enter a state, relation, condition, use, or position",come,x,,
02596409-v,develop a habit,take,,00546637-v,gain through experience,"develop, acquire, evolve",x,,
02606776-v,develop a habit; apply oneself to a practice or occupation,take to,,00546637-v,gain through experience,"develop, acquire, evolve",x,,
02432181-v,do away with,"abolish, get rid of",,00572138-v,get rid of something abstract,"remove, take away",x,,
01090246-v,remove offensive capability from,"disarm, demilitarize, demilitarise",,00572138-v,get rid of something abstract,"remove, take away",x,,
01478583-v,free or remove obstruction from,"free, disengage",,00572138-v,get rid of something abstract,"remove, take away",x,,
