Synset ID,Definition,Members,Previous Hypernyms,New Hypernym ID,New Hypernym Definition,New Hypernym Members
02376443-v,shun the company of others,keep to oneself,,00813811-v,avoid and stay away from deliberately; stay clear of,"shun, eschew"
02378876-v,insist on having one's opinions and rights recognized,"assert, put forward",00010428-v,02523827-v,behave in a certain manner,"behave, acquit, bear, deport, conduct, comport, carry"
02382855-v,behave in a certain way towards others,deal,00010428-v,02523827-v,behave in a certain manner,"behave, acquit, bear, deport, conduct, comport, carry"
02383421-v,"be inactive, as if asleep",lie dormant,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
02384670-v,"begin work or acting in a certain capacity, office or job","start, take up",,00346415-v,take the first step or steps in carrying out an action,"get down, begin, get, start out, start, set about, set out, commence"
02389183-v,put into an office or a position,"install, instal",,01496967-v,put into a certain place or abstract location,"put, set, place, pose, position, lay"
02391408-v,be ordained; enter the Christian ministry,take orders,,01084999-v,become a participant; be involved in,"enter, participate"
02409366-v,remove from a position or an office,remove,,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02410046-v,cause to leave,"take out, move out, remove",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
02411715-v,be the successor (of),"succeed, come after, follow",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
02412896-v,be the predecessor of,"precede, come before",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
02414542-v,engage or hire for work,"hire, engage, employ",,02380222-v,carry out or participate in an activity; be involved in,"prosecute, engage, pursue"
02415985-v,be employed,"work, do work",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
02417219-v,be relieved of one's duties temporarily,get off,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
02418610-v,exert oneself by doing mental or physical work for a purpose or out of necessity; work,work,,02376902-v,make a great effort at a mental or physical task,exert
02422604-v,be idle; exist in a changeless situation,"idle, laze, slug, stagnate",,02609706-v,"have an existence, be extant","exist, be"
02423521-v,engage in recreational activities rather than work; occupy oneself in a diversion,"play, recreate",,02380222-v,carry out or participate in an activity; be involved in,"prosecute, engage, pursue"
02423786-v,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,play,02372362-v,02424173-v,"be engaged in an activity, often for no particular purpose other than pleasure",act
02424366-v,drive without any particular aim,drive around,02372362-v,02424173-v,"be engaged in an activity, often for no particular purpose other than pleasure",act
02424538-v,walk randomly,walk around,02372362-v,02424173-v,"be engaged in an activity, often for no particular purpose other than pleasure",act
02426474-v,grant freedom to; free from confinement,"free, liberate, release, unloose, unloosen, loose",,02260270-v,let have,"allow, grant"
02427126-v,free from obligations or duties,"free, discharge",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02427979-v,make it possible through a specific action or lack of action for something to happen,"let, allow, permit",,01620211-v,make or cause to be or to become,"make, create"
02428446-v,allow the other (baseball) team to score,"give up, allow",,02427979-v,make it possible through a specific action or lack of action for something to happen,"let, allow, permit"
02428558-v,"consciously restrain from showing; of emotions, desires, impulses, or behavior","inhibit, bottle up, suppress",,00233707-v,prevent the action or expression of,"restrain, keep, keep back, hold back"
02429499-v,come down on or keep down by unjust use of one's authority,"oppress, suppress, crush",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02431018-v,start to operate or function or cause to start operating or functioning,"open, open up",,00346415-v,take the first step or steps in carrying out an action,"get down, begin, get, start out, start, set about, set out, commence"
