"ID","ILI","SUPERSEDED_BY","SUPERSEDING_ILI","REASON"
"ewn-01916702-v","i31276","ewn-01923704-v","i31313","Duplicate meaning (#227)"
"ewn-02341139-s","i12921","ewn-13972493-n","i110242","Not an adjective (#13)"
"ewn-02340948-s","i12920","ewn-13972298-n","i110241","Not an adjective (#13)"
"ewn-09295679-n","i85359","ewn-09253407-n","i85134","Duplicate (#2)"
"ewn-02098854-a","i11462","ewn-02805195-a","i15816","Duplicate (#195)"
"ewn-09202161-n","i84879","ewn-09201896-n","i84878","Duplicate (#199)"
"ewn-00062066-r","i18506","ewn-81484980-r","in","Merging senses of 'suddenly' (#34)"
"ewn-00062215-r","i18507","ewn-81484980-r","in","Merging senses of 'suddenly' (#34)"
"ewn-00172544-r","i19303","ewn-81484980-r","in","Merging senses of 'suddenly' (#34)"
"ewn-00597025-v","i24740","ewn-00596016-v","i24736","Duplicate (#217)"
"ewn-00479613-v","i24106","ewn-01213186-v","i27674","Duplicate (#232)"
"ewn-00192093-r","i19450","ewn-00333384-r","i19485","Duplicate (#231)"
"ewn-02209716-s","i12140","ewn-01014459-a","i5535","Duplicate (#226)"
"ewn-02301687-v","i33214","ewn-02332196-v","i33372","Not distinct from hypernym (#225)"
"ewn-01741498-v","i30425","ewn-01622373-v","i29856","Duplicate #233"
"ewn-02057872-a","i11247","ewn-02801550-a","i15789","Duplicate (#238)"
"ewn-01481639-v","i29111","ewn-01481233-v","i29110","Duplicate (#37)"
"ewn-00326578-v","i23361","ewn-00327111-v","i23365","Duplicate (#43)"
"ewn-02943799-a","i16704","ewn-02943671-a","i16703","Duplicate (#48)"
"ewn-01681586-s","i9187","ewn-01681111-s","i9186","Duplicate (#53)"
"ewn-00506084-s","i2840","ewn-00505894-a","i2839","Unnecessary 'with' in this synset (#58)"
"ewn-02369766-v","i33583","ewn-00521840-v","i24320","Duplicate (#59)"
"ewn-02111676-s","i11532","ewn-02110761-a","i11528","Compositional synset (#63)"
"ewn-11115577-n","i95773","ewn-11123638-n","i95816","Duplicate (#66)"
"ewn-09162715-n","i84666","ewn-09245787-n","i85091","Duplicate (#67)"
"ewn-09543752-n","i86661","ewn-09544292-n","i86665","Duplicate (#72)"
"ewn-11164281-n","i96043","ewn-11163590-n","i96039","Misspelled duplicate (#76)"
"ewn-04415309-n","i60101","ewn-02747082-n","i50179","Duplicate (#77)"
"ewn-09545972-n","i86677","ewn-11019869-n","i95260","Duplicate (#73)"
"ewn-09552135-n","i86720","ewn-09550135-n","i86703","Duplicate (#74)"
"ewn-11339239-n","i97029","ewn-11339805-n","i97033","Duplicate (#75)"
"ewn-14981196-n","i115736","ewn-14936538-n","i115455","Duplicated (#130)"
"ewn-08659519-n","i82371","ewn-08242255-n","i80334","Duplicate synset (#133)"
"ewn-11661096-n","i98542","ewn-84481488-n","in","Split sense (#78)"
"ewn-11654084-n","i98507","ewn-86491841-n","in","Split sense (#78)"
"ewn-11657017-n","i98522","ewn-80945361-n","in","Split sense (#78)"
"ewn-11662414-n","i98548","ewn-83153902-n","in","Split sense (#78)"
"ewn-11662694-n","i98549","ewn-80820791-n","in","Split sense (#78)"
"ewn-11662881-n","i98550","ewn-85319713-n","in","Split sense (#78)"
"ewn-11487100-n","i97847","ewn-11545095-n","i98170","compositional "
"ewn-04264001-n","i59186","ewn-86432478-n,ewn-88571022-n","in,in","508"
"ewn-03739038-n","i56097","ewn-03580409-n","i55130","merging with other synset"
"ewn-01151793-v","i27371","ewn-01382265-v","i28606","merging with another synset"
"ewn-00021452-r","i18263","ewn-00021214-r","i18262","merge with another synset"
"ewn-12786162-n","i103913","ewn-12785738-n","i103911","merging with other synset"
"ewn-01409010-v","i28755","ewn-01409166-v","i28756","merging with other synset"
"ewn-00551895-s","i3070","ewn-00551001-a","i3067","merging with other synset"
