"WordNet 2020","Princeton WordNet 3.1"
antoninus_pius%1:18:00::,antonius_pius%1:18:00::
arctocephalus_townsendi%1:05:00::,arctocephalus_philippi%1:05:00::
august_wilhelm_von_hofmann%1:18:00::,august_wilhelm_von_hoffmann%1:18:00::
baron_olivier_of_brighton%1:18:00::,baron_olivier_of_birghton%1:18:00::
bulimia_nervosa%1:26:00::,bulima_nervosa%1:26:00::
canis_lupus_arctos%1:05:00::,canis_lupus_tundrarum%1:05:00::
carl_gustaf_mosander%1:18:00::,carl_gustaf_mossander%1:18:00::
cervus_nippon%1:05:00::,cervus_sika%1:05:00::
dojigger%1:06:00::,doojigger%1:06:00::
epithelioid%3:01:00::,epitheliod%3:01:00::
equus_africanus%1:05:02::,equus_asinus%1:05:02::
feiffer%1:18:00::,feifer%1:18:00::
flunitrazepam%1:06:00::,flunitrazepan%1:06:00::
fuchsia%1:07:00::,fuschia%1:07:00::
genus_sebastes%1:05:00::,genus_sebastodes%1:05:00::
georgia_o'keeffe%1:18:00::,georgia_okeeffe%1:18:00::
gioacchino_antonio_rossini%1:18:00::,giloacchino_antonio_rossini%1:18:00::
helicobacter_pylori%1:05:00::,heliobacter_pylori%1:05:00::
hillary_clinton%1:18:00::,hilary_clinton%1:18:00::
hillary_rodham_clinton%1:18:00::,hilary_rodham_clinton%1:18:00::
hofmann%1:18:02::,hoffmann%1:18:02::
humphry_davy%1:18:00::,humphrey_davy%1:18:00::
ichthyostega%1:05:00::,ichyostega%1:05:00::
infighting%1:04:00::,in-fighting%1:04:00::
infighting%1:04:01::,in-fighting%1:04:01::
jacques_cousteau%1:18:00::,jacques_costeau%1:18:00::
jacques_yves_cousteau%1:18:00::,jacques_yves_costeau%1:18:00::
jaroslav_heyrovsky%1:18:00::,joroslav_heyrovsky%1:18:00::
jimmy_connors%1:18:00::,jimmy_conors%1:18:00::
john_marston%1:18:00::,john_marstan%1:18:00::
juan_gris%1:18:00::,jaun_gris%1:18:00::
jules_feiffer%1:18:00::,jules_feifer%1:18:00::
lariam%1:06:00::,larium%1:06:00::
louping_ill%1:26:00::,looping_ill%1:26:00::
make_whoopee%2:41:00::,make_whoopie%2:41:00::
marston%1:18:00::,marstan%1:18:00::
niihau%1:15:00::,nihau%1:15:00::
niihau_island%1:15:00::,nihau_island%1:15:00::
panentheism%1:09:00::,panenthesism%1:09:00::
paroxetine%1:06:00::,paroxetime%1:06:00::
pipistrellus_hesperus%1:05:00::,spipistrellus_hesperus%1:05:00::
poetic_justice%1:11:00::,poetic_jstice%1:11:00::
prinivil%1:06:00::,prinival%1:06:00::
propranolol%1:06:00::,propanolol%1:06:00::
scumbag%1:18:00::,scum_bag%1:18:00::
sebastes%1:05:00::,sebastodes%1:05:00::
sebastes_caurinus%1:05:00::,sebastodes_caurinus%1:05:00::
sebastes_marinus%1:05:00::,sebastodes_marinus%1:05:00::
sebastes_miniatus%1:05:00::,sebastodes_miniatus%1:05:00::
sebastes_ruberrimus%1:05:00::,sebastodes_ruberrimus%1:05:00::
shigella_dysenteriae%1:05:00::,shigella_dysentariae%1:05:00::
simon_wiesenthal%1:18:00::,samuel_wiesenthal%1:18:00::
sir_humphry_davy%1:18:00::,sir_humphrey_davy%1:18:00::
sir_richard_steele%1:18:00::,sir_richrd_steele%1:18:00::
steel_oneself_for%2:30:00::,steel_onself_for%2:30:00::
toyonaka%1:15:00::,toyonaki%1:15:00::
veg_out%2:29:00::,vege_out%2:29:00::
john_mccormack%1:18:00::,john_mccormick%1:18:00::
william_paterson%1:18:00::,william_patterson%1:18:00::
1st%3:00:00::,1st%5:00:00:ordinal:00
narrow-minded%3:00:00::,narrow-minded%5:00:00:sectarian:00
denominational%3:00:00::,denominational%5:00:00:sectarian:00
