en-US Spelling,English Translation,Change type
acronym,initialism,semantic
adapter,adaptor,er/or
adrenalin,adrenaline,other
agenda,agendum,plural
airplane,aeroplane,semantic
aluminum,aluminium,semantic
analog,analogue,ogue/og
analyze,analyse,yz/ys
analyzed,analysed,yz/ys
analyzer,analyser,yz/ys
analyzing,analysing,yz/ys
anchor,newsreader,semantic
anemia,anaemia,ae/e
anesthesia,anaesthesia,ae/e
anesthesiologist,anaesthetist,semantic
anesthetic,anaesthetic,ae/e
annex,annexe,semantic (noun)
antennas,antennae,plural
antialiased,anti-aliased,hyphen
antialiasing,anti-aliasing,hyphen
anymore,any more,other
appall,appal,double
archeology,archaeology,ae/e
armor,armour,ou/o
ass,arse,semantic (some senses)
artifact,artefact,other
authorization,authorisation,iz/is
authorizational,authorisational,iz/is
authorize,authorise,iz/is
authorized,authorised,iz/is
authorizing,authorising,iz/is
automobile,motorcar,semantic
ax,axe,other
backward,backwards,semantic (adverb)
balk,baulk,other
barnyard,farmyard,semantic
basicly,basically,ally/ly
bathroom,toilet,semantic
beet,beetroot,semantic
behavior,behaviour,ou/o
behoove,behove,other
bill,note,semantic
binder clip,bulldog clip,semantic
bobsled,bobsleigh,semantic
brace,curly bracket,semantic
braces,curly brackets,semantic
braked,broke,semantic
broil,grill,semantic (verb)
buddy,mate,semantic (sense)
bullhorn,megaphone,semantic
burned,burnt,other
bum,tramp,semantic
cafe,café,other
caliber,calibre,re/or
canceled,cancelled,double
canceling,cancelling,double
candy,sweet,semantic
candy bar,chocolate bar,semantic
canned,tinned,semantic 
capitalization,capitalisation,iz/is
capitalize,capitalise,iz/is
capitalized,capitalised,iz/is
capitalizing,capitalising,iz/is
carburetor,carburettor,other
cart,trolley,semantic
case insensitive,case-insensitive,hyphen
case sensitive,case-sensitive,hyphen
caster,castor,er/or
catalog,catalogue,ogue/og
categorization,categorisation,iz/is
categorize,categorise,iz/is
categorized,categorised,iz/is
categorizing,categorising,iz/is
chapstick,lip balm,semantic
centimeter,centimetre,re/or
center,centre,re/or
centered,centred,re/or
centering,centring,re/or
centralization,centralisation,iz/is
centralize,centralise,iz/is
centralized,centralised,iz/is
centralizing,centralising,iz/is
cesium,caesium,ae/e
check,cheque,other (sense)
check,tick,other (sense)
checkbox,tickbox,other (sense)
checked,chequered,semantic
checked,ticked,other (sense)
checker,chequer,other (sense)
checkerboard,chequerboard,other
checkered,chequered,other (sense)
chips,crisps,semantic (sense) 
cipher,cypher,other
coffee shop,café,semantic (sense)
cold,neutral,semantic
color,colour,ou/o
colored,coloured,ou/o
colorer,colourer,ou/o
colorful,colourful,ou/o
coloring,colouring,ou/o
colorkey,colour-key,hyphen
colorspace,colour-space,hyphen
congress,parliament,semantic
cookie,biscuit,semantic
cooperate,co-operate,hyphen
coordinate,co-ordinate,hyphen
corn,maize,semantic
cornsilk,maize silk,semantic
cotton candy,candy floss,semantic
counterclockwise,anti-clockwise,semantic
counter-clockwise,anti-clockwise,semantic
coupe,coupé,other
coveralls,overalls,semantic
cozy,cosy,other
curb,kerb,other (sense)
curriculums,curricula,plural
customizable,customisable,iz/is
customization,customisation,iz/is
customize,customise,iz/is
customized,customised,iz/is
customizing,customising,iz/is
dealed,dealt,other
defense,defence,ce/se
dialed,dialled,double
dialer,dialler,double
dialing,dialling,double
dialog,dialogue,ogue/og
diaper,nappy,semantic
diarrhea,diarrhoea,oe/e
digitization,digitisation,iz/is
digitize,digitise,iz/is
digitized,digitised,iz/is
digitizer,digitiser,iz/is
digitizing,digitising,iz/is
dishrag,dish cloth,semantic
dishtowel,tea towel,semantic
disk,disc,other (sense)
disorganized,disorganised,iz/is
distill,distil,double
donut,doughnut,other
downspout,drainpipe,semantic
downward,downwards,semantic (adverb)
draft,draught,other
dreamed,dreamt,other
drugstore,pharmacy,semantic
dumpster,skip,semantic
eastward,eastwards,semantic (adverb)
eggplant,aubergine,semantic
email,e-mail,hyphen
encyclopedia,encyclopaedia,ae/e
endeavor,endeavour,ou/o
England,Britain,semantic
English,British,semantic
English,Imperial,semantic
enology,oenology,oe/e
equaled,equalled,double
equaling,equalling,double
equalize,equalise,iz/is
equalized,equalised,iz/is
equalizer,equaliser,iz/is
equalizing,equalising,iz/is
esophagus,oesophagus,oe/e
esthetics,aesthetics,ae/e
estrogen,oestrogen,oe/e
expressway,motorway,semantic
fag,homosexual,semantic
fall,autumn,semantic
familiarization,familiarisation,iz/is
familiarize,familiarise,iz/is
familiarized,familiarised,iz/is
familiarizing,familiarising,iz/is
fanny,buttocks,semantic
fanny pack,bum bag,semantic
faucet,tap,semantic
favor,favour,ou/o
favored,favoured,ou/o
favoring,favouring,ou/o
favorite,favourite,ou/o
fetus,foetus,semantic
fiber,fibre,re/or
filet,fillet,double
fill out,fill in,semantic
flashlight,torch,semantic
flatware,cutlery,semantic
flavor,flavour,ou/o
flavored,flavoured,ou/o
flavoring,flavouring,ou/o
forever,for ever,other
formulas,formulae,plural
forums,fora,plural
forward,forwards,semantic (adverb)
forward slash,slash,semantic
fourth,quarter,semantic (sense)
freeway,motorway,semantic
french fries,hot chips,semantic
freshman,fresher,semantic
fries,chips,semantic
fueled,fuelled,double
fueling,fuelling,double
furor,furore,other
garbage,rubbish,semantic
gas,petrol,semantic
gasoline,petrol,semantic
globalization,globalisation,iz/is
globalizational,globalisational,iz/is
globalize,globalise,iz/is
globalized,globalised,iz/is
globalizing,globalising,iz/is
globaly,globally,ally/ly
glycerin,glycerine,other
goiter,goitre,re/or
gray,grey,other
graylist,greylist,other
graylisted,greylisted,other
graylisting,greylisting,other
ground,earth,semantic
grounded,earthed,semantic
grounding,earthing,semantic
guerilla,guerrilla,double
gynecology,gynaecology,ae/e
hanged,hung,semantic
harbor,harbour,ou/o
harbored,harboured,ou/o
harboring,harbouring,ou/o
hemophilia,haemophilia,ae/e
hemophiliac,haemophiliac,ae/e
hauler,haulier,other
hobo,homeless person,semantic
homeopathic,homoeopathic,oe/e
homeopathy,homoeopathy,oe/e
honor,honour,ou/o
honored,honoured,ou/o
honoring,honouring,ou/o
hood,bonnet,semantic
hot,live,semantic (sense)
humor,humour,ou/o
humored,humoured,ou/o
humoring,humouring,ou/o
infeasible,unfeasible,semantic
initialization,initialisation,iz/is
initializational,initialisational,iz/is
initialize,initialise,iz/is
initialized,initialised,iz/is
initializer,initialiser,iz/is
initializing,initialising,iz/is
inquire,enquire,semantic (sense)
inquiry,enquiry,semantic (sense)
insure,ensure,semantic (sense)
internationalization,internationalisation,iz/is
internationalizational,internationalisational,iz/is
internationalize,internationalise,iz/is
internationalized,internationalised,iz/is
internationalizing,internationalising,iz/is
jail,gaol,other
jello,jelly,other
jell-o,jelly,other
jelly,jam,semantic
jeweled,jewelled,double
jeweler,jeweller,double
jewelery,jewellery,double
journaling,journalling,double
judgment,judgement,other
kilometer,kilometre,re/or
kiwi,kiwifruit,semantic
kneeled,knelt,semantic
labeled,labelled,double
labeler,labeller,double
labeling,labelling,double
labor,labour,ou/o
labored,laboured,ou/o
laboring,labouring,ou/o
ladybug,ladybird,semantic
last name,surname,semantic
leaned,leant,other
leaped,lept,other
learned,learnt,other
leukemia,leukaemia,ae/e
license,licence,ce/se (noun)
license plate,number plate,semantic
licorice,liquorice,other
lighted,lit,other
line,mains,semantic
liter,litre,re/or
localization,localisation,iz/is
localizational,localisational,iz/is
localize,localise,iz/is
localized,localised,iz/is
localizing,localising,iz/is
mail,post,semantic
mailbox,letterbox,semantic
mailman,postman,semantic
mail slot,letterbox,semantic
math,maths,semantic
medieval,mediaeval,ae/e
meter,metre,re/or
micrometer,micrometre,re/or
milliliter,millilitre,re/or
millimeter,millimetre,re/or
minimize,minimise,iz/is
minimized,minimised,iz/is
minimizing,minimising,iz/is
misspelled,misspelt,other
modeled,modelled,double
modeler,modeller,double
modeling,modelling,double
mold,mould,ou/o
molt,moult,ou/o
mom,mum,other
momma,mumma,other
mommy,mummy,other
mom-and-pop,mum-and-dad,other
movies,cinema,semantic
movies,films,semantic
mustache,moustache,ou/o
nanometer,nanometre,re/or
neighbor,neighbour,ou/o
neighboring,neighbouring,ou/o
neuron,neurone,other
newsdealer,newsagent,semantic
normalcy,normality,semantic
normalization,normalisation,iz/is
normalize,normalise,iz/is
normalized,normalised,iz/is
normalizing,normalising,iz/is
northward,northwards,semantic (adverb)
offense,offence,ce/se
onward,onwards,semantic (adverb)
optimization,optimisation,iz/is
optimizational,optimisational,iz/is
optimize,optimise,iz/is
optimized,optimised,iz/is
optimizing,optimising,iz/is
organization,organisation,iz/is
organizational,organisational,iz/is
organize,organise,iz/is
organized,organised,iz/is
organizer,organiser,iz/is
organizing,organising,iz/is
ornery,irritable,semantic
orthopedic,orthopaedic,ae/e
ouster,ousting,semantic
pacifier,dummy,semantic
pajamas,pyjamas,other
paneled,panelled,double
paneling,panelling,double
pants,trousers,semantic
pantyhose,tights,semantic
paren,bracket,semantic
parentheses,brackets,semantic
parenthesis,bracket,semantic
parenthesized,bracketed,semantic
parking lot,car park,semantic
pediatric,paediatric,ae/e
period,full stop,semantic
persnickety,pernickety,semantic
picometer,picometre,re/or
plow,plough,other
pop,dad,semantic 
popsicle,ice lolly,semantic
porch,veranda,semantic
postpend,suffix,semantic
pound sign,hash,semantic
power cord,mains lead,semantic
practice,practise,other (noun)
premiere,première,other
prepend,prefix,semantic
prioritization,prioritisation,iz/is
prioritize,prioritise,iz/is
prioritized,prioritised,iz/is
prioritizing,prioritising,iz/is
program,programme,other
prong,pin,other (sense)
proved,proven,semantic 
pry,prise,semantic
quint,quin,semantic
railroad,railway,semantic
randomization,randomisation,iz/is
randomize,randomise,iz/is
randomized,randomised,iz/is
randomizing,randomising,iz/is
rappel,abseil,semantic
realator,real estate agent,semantic
realization,realisation,iz/is
realize,realise,iz/is
realized,realised,iz/is
realizing,realising,iz/is
recognizable,recognisable,iz/is
recognize,recognise,iz/is
recognized,recognised,iz/is
recognizing,recognising,iz/is
reinitialize,reinitialise,iz/is
reinitialized,reinitialised,iz/is
reinitializing,reinitialising,iz/is
resume,CV,semantic
résumé,CV,semantic
route,round,semantic (sense)
row house,terraced house,semantic
rumor,rumour,ou/o
rumored,rumoured,ou/o
saber,sabre,re/or
sailboat,sailing boat,semantic
sanitarium,sanatorium,semantic
Santa Claus,Father Christmas,semantic
scalawag,scallywag,semantic
scepter,sceptre,re/or
schedule,timetable,semantic
season,series,semantic
serialization,serialisation,iz/is
serializational,serialisational,iz/is
serialize,serialise,iz/is
serialized,serialised,iz/is
serializing,serialising,iz/is
shivaree,charivari,other
sidewalk,pavement,semantic
signaled,signalled,double
signaling,signalling,double
simultanous,simultaneous,other
skeptic,sceptic,other
skeptical,sceptical,other
skepticism,scepticism,other
sled,sleigh,semantic
sneakers,trainers,semantic
snicker,snigger,other
soapbox,podium,semantic
soccer,football,semantic
soda,soft drink,semantic
solitaire,patience,semantic
southward,southwards,semantic (adverb)
specialization,specialisation,iz/is
specializational,specialisational,iz/is
specialize,specialise,iz/is
specialized,specialised,iz/is
specializing,specialising,iz/is
