Synset,Children,Lemmas,Definitions,Hypernym Lemma,Hypernym ID
00126072-v,1709,"change, alter, modify","cause to change; make different; cause a transformation",,
00109468-v,1297,"change","undergo a change; become different in essence; losing one's or its original nature",,
02372362-v,1081,"act, move","perform an action, or work out or perform (an action)",,
01854282-v,1038,"move, displace","cause to move or shift into a new position or place, both in a concrete and in an abstract sense",,
01620211-v,661,"make, create","make or cause to be or to become",,
01839438-v,526,"travel, go, move, locomote","change location; move, travel, or proceed, also metaphorically",,
00630153-v,452,"think, cogitate, cerebrate","use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments",,
02225243-v,433,"transfer","cause to change ownership",,
01835473-v,331,"move","move so as to change position, perform a nontranslational motion",,
02610777-v,276,"be","have the quality of being; (copula, used with an adjective or a predicate noun)",,
01357376-v,264,"connect, link, tie, link up","connect, fasten, or put together two or more pieces",,
00942415-v,206,"express, verbalize, verbalise, utter, give tongue to","articulate; either verbally or with a cry, shout, or noise",,
00173351-v,200,"remove, take, take away, withdraw","remove something concrete, as by lifting, pushing, or taking off, or remove something abstract",,
01208838-v,197,"touch","make physical contact with, come in contact with",,
01335412-v,188,"cover","provide with a covering or cause to be covered",,
02215637-v,148,"get, acquire","come into the possession of something concrete or abstract",,
02208144-v,133,"have, have got, hold","have or possess, either in a concrete or an abstract sense",,
02128368-v,120,"cause to be perceived","have perceptible qualities",,
02445887-v,93,"control, command","exercise authoritative control or power over",,
00985856-v,89,"utter, emit, let out, let loose","express audibly; utter sounds (not necessarily words)",,
02661230-v,89,"be","occupy a certain position or area; be somewhere",,
02020375-v,82,"enter, come in, get into, get in, go into, go in, move into","to come or go into",,
01092746-v,80,"contend, fight, struggle","be engaged in a fight; carry on a fight",,
01074673-v,79,"compete, vie, contend","compete for something; engage in a contest; measure oneself against others",,
01624592-v,72,"produce, make, create","create or manufacture a man-made product",,
01159300-v,68,"consume, ingest, take in, take, have","serve oneself to, or consume regularly",,
02455370-v,67,"prevent, keep","stop (someone or something) from doing something or being in a certain state",,
01208316-v,67,"touch, adjoin, meet, contact","be in direct physical contact with; make contact",,
00699355-v,61,"decide, make up one's mind, determine","reach, make, or come to a decision about something",,
00078513-v,59,"treat, care for","provide treatment for",,
01161188-v,57,"use, utilize, utilise, apply, employ","put into service; make work or employ for a particular purpose or for its inherent or natural purpose",,
01110559-v,56,"get the better of, overcome, defeat","win a victory over",,
01216829-v,56,"take, get hold of","get into one's hands, take physically",,
00772482-v,55,"induce, stimulate, cause, have, get, make","cause to do; cause to act in a specified manner",,
00646245-v,53,"analyze, analyse, study, examine, canvass","consider in detail and subject to an analysis in order to discover essential features or meaning",,
02110960-v,51,"perceive, comprehend","to become aware of through the senses",,
00701581-v,50,"determine, set","fix conclusively or authoritatively",,
01326622-v,49,"kill","cause to die; put to death, usually intentionally or knowingly",,
00104622-v,49,"exhaust, discharge, expel, eject, release","eliminate (a substance)",,
02013448-v,48,"leave, go forth, go away","go away from a place",,
00010428-v,46,"act, behave, do","behave in a certain manner; show a certain behavior; conduct or comport oneself",,
02228837-v,45,"get rid of, remove","dispose of",,
01771801-v,43,"affect, impress, move, strike","have an emotional or cognitive impact upon",,
02481345-v,42,"appoint, charge","assign a duty, responsibility or obligation to",,
00590283-v,41,"understand","know and comprehend the nature or meaning of",,
01775456-v,40,"feel, experience","undergo an emotional sensation or be in a particular state of mind",,
00807038-v,39,"agree, hold, concur, concord","be in accord; be in agreement",,
01381221-v,38,"spread, distribute","distribute or disperse widely",,
02211401-v,37,"take","conquer by force",,
00340744-v,35,"happen, hap, go on, pass off, occur, pass, fall out, come about, take place","come to pass",,
02561834-v,35,"support, back up","give moral or psychological support, aid, or courage to",,
02670846-v,35,"equal, be","be identical or equivalent to",,
02141597-v,35,"show","make visible or noticeable",,
02135744-v,34,"examine, see","observe, check out, and look over carefully or inspect",,
02418610-v,33,"work","exert oneself by doing mental or physical work for a purpose or out of necessity; work",,
00233707-v,33,"restrain, keep, keep back, hold back","prevent the action or expression of",,
01622250-v,33,"unmake, undo","deprive of certain characteristics",,
01716563-v,32,"perform, execute, do","carry out or perform an action",,
02210054-v,32,"take","take into one's possession",,
00122978-v,30,"change, alter, vary","become different in some particular way, without permanently losing one's or its former characteristics or essence",,
00423043-v,28,"appear","come into sight or view",,
00667804-v,28,"confirm, corroborate, sustain, substantiate, support, affirm","establish or strengthen as with new evidence or facts",,
02439823-v,27,"join, fall in, get together","become part of; become a member of a group or organization",,
02415985-v,26,"work, do work","be employed",,
00980581-v,26,"pronounce, articulate, enounce, sound out, enunciate, say","speak, pronounce, or utter in a certain way",,
01214794-v,25,"guide, run, draw, pass","pass over, across, or through",,
02205200-v,25,"give, gift, present","give as a present; make a gift of",,
02270039-v,25,"account, calculate","keep an account of",,
