synset,definition,members,transitive definition,intransitive definition,notes
02372031-v,"leave (a job, post, or position) voluntarily",vacate; resign; renounce; give up,,,
02379663-v,display excessive cordiality (towards),backslap,,,
02379855-v,perform a function,perform,,,
02380222-v,carry out or participate in an activity; be involved in,prosecute; engage; pursue,,,
02380993-v,work toward the passage of some legislation by exchanging political favors such as trading votes,logroll,,,
02387509-v,give up or retire from a position,leave office; quit; step down; resign,,,
02388582-v,remove oneself from an association with or participation in,leave; depart; pull up stakes,,,
02406951-v,remove from a position or office,oust; throw out; drum out; boot out; kick out; expel,,,
02407967-v,terminate the employment of; discharge from an office or position,displace; fire; give notice; can; dismiss; give the axe; send away; sack; force out; give the sack; terminate,,,
02411715-v,be the successor (of),succeed; come after; follow,,,
02412896-v,be the predecessor of,precede; come before,,,
02413411-v,work as a driver,drive,,,
02415071-v,engage by written agreement,sign; contract; sign on; sign up,,,
02415849-v,assign a job to someone outside one's own business,contract out,,,
02417080-v,take time off from work; stop working temporarily,take off; take time off,,,
02417305-v,free someone temporarily from his or her obligations,take over; relieve,,,
02419840-v,act as an assistant in a subordinate or supportive function,assist,,,
02421160-v,work with in an amateurish manner,dabble; smatter; play around,,,
02422489-v,give one's silent approval to,connive at; wink at,,,
02427979-v,make it possible through a specific action or lack of action for something to happen,let; allow; permit,,,
02431018-v,start to operate or function or cause to start operating or functioning,open; open up,,,
02431242-v,cease to operate or cause to cease operating,close up; close; fold; shut down; close down,,,
02432763-v,order by virtue of superior authority; decree,ordain; enact,,,
02433334-v,break from a meeting or gathering,adjourn; withdraw; retire,,,
02436818-v,work in an administrative capacity; supervise or be in charge of,administer; administrate,,,
02438396-v,"revise or reorganize, especially for the purpose of updating and improving",retool; revise,,,
02439823-v,become part of; become a member of a group or organization,join; fall in; get together,,,
02441196-v,"be in charge of, act on, or dispose of",manage; deal; care; handle,,,
02450790-v,"work in a specific place, with a specific subject, or in a specific function",be; follow,,,
02452658-v,guarantee as meeting a certain standard,certify; endorse; indorse,,,
02453050-v,create (as an entity),form; organize; organise,,,
02455282-v,be active in,partake in,,,
02461692-v,work or act as a baby-sitter,baby-sit; sit; babysit,,,
02463998-v,have smooth relations,get along with; get on with; get on; get along; hit it off,,,
02464366-v,detain in conversation by or as if by holding on to the outer garments of; as for political or economic favors,lobby; buttonhole,,,
02466306-v,work under a subcontract; engage in a subcontract,subcontract,,,
02469127-v,avoid (one's assigned duties),fiddle; shirk; shrink from; goldbrick,,,
02470568-v,sign jointly,co-sign; cosign,,,
02472093-v,"make laws, bills, etc. or bring into effect by legislation",legislate; pass,,,
02475598-v,bring or come into association or action,consociate; associate,,,
02476316-v,"unify again, as of a country",reunify; reunite,,,
02476510-v,enroll to vote,register,,,
02476750-v,register formally as a participant or member,enroll; inscribe; enter; enrol; recruit; raise,,,
02487728-v,separate by race or religion; practice a policy of racial segregation,segregate,,,
02491462-v,go on a date with,date,,,
02491850-v,date regularly; have a steady relationship with,go steady; go out; date; see,,,
02493222-v,pay a brief visit,visit; call in; call,,,
02493705-v,render,pay,,,
02494483-v,take in marriage; married,marry; get married; wed; conjoin; hook up with; get hitched with; espouse,,,
02495896-v,"marry, not for the first time",remarry,,,
02496283-v,get a divorce; formally terminate a marriage,divorce; split up,,,
02496526-v,have a celebration,celebrate; fete,,,
02499160-v,have or give a reception,receive,,,
02503235-v,take a court case to a higher court for review,appeal,,,
02517217-v,bring into conformity with rules or principles or usage; impose regulations,regulate; regularize; regularise; order; govern,,,
02517971-v,treat differently on the basis of sex or race,discriminate; separate; single out,,,
02522868-v,behave badly,misbehave; misconduct; misdemean,,,
02526026-v,make excessive corrections for fear of making an error,over-correct; overcompensate,,,
02526175-v,make amends for,expiate; aby; abye; atone,,,
02527985-v,fall short in what is expected,fail,,,
02528530-v,be successful; achieve a goal,pull off; negociate; bring off; carry off; manage,,,
02529017-v,go unchallenged; be approved,pass; clear,,,
02529187-v,fail to get a passing grade,fail; flunk; bomb; flush it,,,
02530710-v,go successfully through a test or a selection process,pass; make it,,,
02531534-v,fail by aiming too high or trying too hard,overreach,,,
02531751-v,to gain with effort,achieve; accomplish; attain; reach,,,
02533317-v,"make a mess of, destroy or ruin",botch; bodge; bumble; fumble; botch up; muff; blow; flub; screw up; ball up; spoil; muck up; bungle; fluff; bollix; bollix up; bollocks; bollocks up; bobble; mishandle; louse up; foul up; mess up; fuck up,,,
02535833-v,make an effort or attempt,try; seek; attempt; essay; assay,,,
02540427-v,engage in social activities leading to marriage,court,,,
02542223-v,have and exert influence or effect,influence; act upon; work,,,
02543752-v,create social or emotional ties,bind; tie; attach; bond,,,
02546948-v,be used by; as of a utility,service; serve,,,
02547977-v,"act in accordance with someone's rules, commands, or wishes",comply; follow; abide by,,,
02551275-v,expose to a chance of loss or damage,risk; put on the line; lay on the line,,,
02553283-v,give help or assistance; be of service,help; assist; aid,,,
02556213-v,care for like a mother,mother; fuss; overprotect,,,
02559774-v,sell one's body; exchange sex for money,prostitute,,,
02572142-v,commit a faux pas or a fault or make a serious mistake,drop the ball; sin; blunder; boob; goof,,,
02575150-v,simplify to an excessive degree,oversimplify,,,
02576599-v,"enter someone's (virtual or real) property in an unauthorized manner, usually with the intent to steal or commit a violent act",break in; break,,,
02577816-v,pay close attention to; give heed to,heed; mind; listen,,,
02579332-v,deprive somebody of something by deceit,cheat; rip off; chisel,,,
02582588-v,be sexually unfaithful to one's partner in marriage,cheat on; cheat; cuckold; betray; wander,,,
02583006-v,"tamper, with the purpose of deception",fudge; manipulate; fake; falsify; cook; wangle; misrepresent,,,
02584320-v,influence by slyness,juggle; beguile; hoodwink,,,
